player_id,name,new_id,own_goals,yellow_cards,yellow_red_cards,red_cards,minutes_played,penalty_goals,minutes_per_goal,matches,goals,assists,to_nil,conceded_goals
567576,Elliot Anderson,b459e1b6,0,10,0,0,7970,5,46700000221225.0,134,31,16,0,0
567597,Odel Offiah,b521a022,0,10,0,0,6112,0,2790.5,92,5,3,0,0
568157,Yéremy Pino,621b7be5,0,28,0,0,9606,2,54250000002588.0,177,27,16,0,0
568693,Pape Matar Sarr,d256b22a,0,26,0,0,8871,1,3839.0,144,12,11,0,0
569032,Florian Bähr,f0ee0c2f,0,13,1,0,5801,6,81200000000531.75,81,15,10,0,0
569579,Alessandro Tozzuolo,8bb7c33e,1,26,3,1,13879,0,6927.0,157,3,0,0,0
570458,Jake Garrett,71561ec1,0,26,0,2,8265,0,11433333334781.0,120,5,10,0,0
570466,Mateusz Legowski,ffe610ba,0,20,0,0,10188,0,57033333336090.0,167,9,14,0,0
570864,Tony Springett,5c357e65,0,8,0,0,7483,0,235946.8,131,18,20,0,0
635521,Pablo Barredo,177131b4,0,0,0,0,270,0,0.0,3,0,0,1,3
636385,Yeremay Hernández,b0b25622,0,10,1,0,3227,2,1126.75,63,9,5,0,0
636398,Xabi Dominguez,bff12355,0,5,0,0,2156,1,786.0,61,6,1,0,0
636530,Jota López,fb2fca22,0,1,1,0,2566,0,905.0,55,5,2,0,0
636685,Raúl García-Alejo,b7ed04e0,0,0,0,0,540,0,0.0,5,0,0,2,4
636686,Arnau Rafús,fa3b20ed,0,0,0,0,2286,0,0.0,26,0,0,7,37
636687,Diego Almeida,51932dce,1,2,0,0,2356,1,1111.0,38,1,1,0,0
636688,Alejandro Balde,af0cc9b0,1,12,0,0,9870,0,2589.0,155,2,12,0,0
636693,David Navarro,6c47616c,0,14,0,2,4850,0,268.0,63,1,2,0,0
636695,Marc Casadó,a1f4feb4,0,22,0,0,6383,0,0.0,80,0,2,0,0
636697,Arnau Solà,0ecad6c7,0,7,0,0,4455,0,812.0,64,1,0,0,0
636701,Juanda Fuentes,8117b0e2,0,5,0,0,2416,0,1246.0,52,6,4,0,0
636703,Fermín López,14f34861,0,11,2,0,6037,0,22183333334183.0,103,30,9,0,0
636898,Lucas Copado,ed48074e,0,8,0,0,7046,1,17922222223686.85,110,41,30,0,0
637919,Oguzcan Büyükarslan,549ee2c5,0,5,0,0,3121,2,993.25,67,13,9,0,0
638490,Brayan Ademán,002d8a5a,0,5,0,0,806,0,0.0,15,0,0,0,0
638631,Elijah Krahn,65d88761,0,5,0,1,5029,1,51433333335468.0,76,5,8,0,0
638964,Nathan Butler-Oyedeji,10b83939,0,6,1,0,5585,1,2158.0,101,15,8,0,0
639237,Vedat Tunc,7998dad3,0,8,0,1,6959,8,17044444445770.75,103,15,5,0,0
639238,Mika Eickhoff,f7526b86,0,5,0,0,6704,4,46856043956761.6,92,33,11,0,0
639476,Etienne Sohn,93c69e3f,0,5,0,0,3689,0,46450000001118.75,95,18,11,0,0
639577,Jannic Ehlers,7824cc08,0,25,1,0,6798,3,303424.5,90,21,11,0,0
639580,Justin Janitzek,2dd74df7,1,10,0,0,6655,0,1911.5,88,4,2,0,0
639691,Ricky Maset,291dead7,1,25,1,1,9713,0,2202.0,117,3,3,0,0
639733,Peque Fernández,2dcad11b,0,17,0,0,6266,10,38294444446724.0,123,29,7,0,0
639756,Joyce Luyeye-Nkula,1d84138d,0,10,1,0,4470,1,29366666667725.5,93,13,6,0,0
640245,Will Fish,54160eca,1,18,0,1,10850,0,6323.5,134,8,5,0,0
640428,Eduardo Camavinga,b163f370,0,59,0,1,17150,0,5767.5,280,11,16,0,0
640544,Andrea D'Aniello,5e7e3968,0,2,0,1,4818,0,0.0,55,0,0,9,84
640556,Rav van den Berg,23c92aff,1,5,0,0,7559,0,3750.0,102,3,1,0,0
641537,Tommaso Baldanzi,1c2e0955,0,19,0,0,12402,1,43342857146049.5,191,52,22,0,0
641549,Manuel Chietti,ffcba6b7,0,14,0,1,7530,2,2587.25,116,7,9,0,0
641553,Alessio Rizza,d7aa1ed1,1,14,0,1,9675,0,2155.0,120,2,9,0,0
641555,Matteo Morelli,69fe10ba,0,7,0,1,5915,0,1342.5,78,5,0,0,0
641556,Francesco Nunziatini,95b55e34,0,17,0,0,5213,0,662.0,92,4,3,0,0
641676,Adam Griger,1c1546f9,0,14,0,0,6938,0,22457142859598.5,128,22,9,0,0
644156,Luca Lombardi,f668f107,0,22,0,0,7307,0,3491.0,123,2,1,0,0
644557,Willi Reincke,e6ea0f94,0,11,1,1,4328,3,99222222223395.5,83,29,7,0,0
644559,Liam Tiernan,6f8e6750,0,1,0,1,1122,0,0.0,14,0,0,7,12
645686,Lamare Bogarde,30436140,0,17,1,0,8953,0,1734.0,120,4,9,0,0
646210,Fin Back,356b1b50,0,6,0,0,5592,0,180.0,68,1,7,0,0
646214,Oliver Hammond,3a169ca8,1,5,0,0,5425,0,21857142857690.8,78,14,6,0,0
646658,Aaron Ramsey,36ea6333,0,13,0,0,10994,0,107683333335467.84,180,45,28,0,0
646698,Gabriel Misehouy,833c836e,0,2,0,0,5400,1,24652380953985.0,87,26,13,0,0
